C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%),CT(℃),Ct(h),TOL(μm)
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,2.50E-05,550,1372,30
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,4.40E-08,550,1200,5
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,2.50E-05,550,1372,12
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,4.40E-08,550,1200,6.5
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,500,500,9.59
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,500,500,5.23
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,500,500,4.31
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,500,1000,16.9
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,500,1000,7.35
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,500,1000,5.95
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,500,2000,20.5
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,500,2000,8.2
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,500,2000,7.3
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,800,11.95
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,1500,17.29
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,3000,30.47
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,800,11.43
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,1500,17.21
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,550,3000,30.89
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,550,50,5.5
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,550,100,8.6
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,550,200,14
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,550,500,30
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,550,1000,41
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,550,50,2.5
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,550,100,6.1
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,550,200,10
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,550,500,18
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,550,1000,22
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,550,50,1.3
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,550,100,4.9
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,550,200,8
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,550,500,13
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,550,1000,15
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,600,100,31.867
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,600,300,52.196
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,600,500,66.823
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,600,1000,105.663
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,200,20.4
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,500,36.29
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,1000,47.26
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,2000,58.32
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,3000,66.46
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,4000,72.76
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,5000,80.38
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,550,8000,97
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.26E-06,550,1000,7.4
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,450,500,11
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,450,1000,18
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,450,1500,22
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,550,500,38
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,550,1000,30
